2020-02-20 02:34:50.811 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'clientOutboundChannelExecutor'
2020-02-20 02:34:50.811 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'clientInboundChannelExecutor'
2020-02-20 02:35:40.937 [main] INFO  com.allwayz.freeseed.FreeseedApplication - Starting FreeseedApplication on AllwayzdeiMac.local with PID 3484 (/Volumes/Macintosh/Document/git/FreeSeed/target/classes started by allwayz in /Volumes/Macintosh/Document/git/FreeSeed)
2020-02-20 02:35:40.940 [main] INFO  com.allwayz.freeseed.FreeseedApplication - No active profile set, falling back to default profiles: default
2020-02-20 02:35:41.298 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.allwayz.freeseed]' package. Please check your configuration.
2020-02-20 02:35:41.590 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8990 (http)
2020-02-20 02:35:41.595 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-02-20 02:35:41.595 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-20 02:35:41.710 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2020-02-20 02:35:41.715 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-02-20 02:35:41.715 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 749 ms
2020-02-20 02:35:41.768 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'clientInboundChannelExecutor'
2020-02-20 02:35:41.770 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'clientOutboundChannelExecutor'
2020-02-20 02:35:42.179 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'messageBrokerTaskScheduler'
2020-02-20 02:35:42.199 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'brokerChannelExecutor'
2020-02-20 02:35:42.305 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [templates/index.html]
2020-02-20 02:35:42.386 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Starting...
2020-02-20 02:35:42.386 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-02-20 02:35:42.387 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Started.
2020-02-20 02:35:42.391 [MessageBroker-1] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出1
2020-02-20 02:35:42.426 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8990 (http) with context path ''
2020-02-20 02:35:42.429 [main] INFO  com.allwayz.freeseed.FreeseedApplication - Started FreeseedApplication in 1.765 seconds (JVM running for 2.192)
2020-02-20 02:35:43.394 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出2
2020-02-20 02:35:44.073 [http-nio-8990-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-02-20 02:35:44.074 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-02-20 02:35:44.077 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2020-02-20 02:35:44.394 [MessageBroker-3] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出3
2020-02-20 02:35:45.394 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出4
2020-02-20 02:35:46.394 [MessageBroker-1] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出5
2020-02-20 02:35:47.394 [MessageBroker-5] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出6
2020-02-20 02:35:48.394 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出7
2020-02-20 02:35:49.395 [MessageBroker-3] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出8
2020-02-20 02:35:50.394 [MessageBroker-7] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出9
2020-02-20 02:35:51.394 [MessageBroker-5] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出10
2020-02-20 02:35:52.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出11
2020-02-20 02:35:53.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出12
2020-02-20 02:35:54.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出13
2020-02-20 02:35:55.393 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出14
2020-02-20 02:35:56.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出15
2020-02-20 02:35:57.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出16
2020-02-20 02:35:58.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出17
2020-02-20 02:35:59.395 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出18
2020-02-20 02:36:00.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出19
2020-02-20 02:36:01.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出20
2020-02-20 02:36:02.395 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出21
2020-02-20 02:36:03.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出22
2020-02-20 02:36:04.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出23
2020-02-20 02:36:05.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出24
2020-02-20 02:36:06.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出25
2020-02-20 02:36:07.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出26
2020-02-20 02:36:08.393 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出27
2020-02-20 02:36:09.394 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出28
2020-02-20 02:36:10.395 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出29
2020-02-20 02:36:11.393 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出30
2020-02-20 02:36:12.392 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出31
2020-02-20 02:36:13.392 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出32
2020-02-20 02:36:13.815 [SpringContextShutdownHook] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopping...
2020-02-20 02:36:13.815 [SpringContextShutdownHook] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-02-20 02:36:13.815 [SpringContextShutdownHook] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopped.
